"unmatched_programs","program","specialty"
"Zucker School of Medicine at Hofstra/Northwell_Child Neurology","Zucker School of Medicine at Hofstra/Northwell","Child Neurology"
"Bay Area Corpus Christi Medical Center_Dermatology","Bay Area Corpus Christi Medical Center","Dermatology"
"Baylor College of Medicine (Houston)_Dermatology","Baylor College of Medicine (Houston)","Dermatology"
"Baylor Scott & White Medical Center-Garland_Dermatology","Baylor Scott & White Medical Center-Garland","Dermatology"
"Beaumont Health (Farmington Hills)_Dermatology","Beaumont Health (Farmington Hills)","Dermatology"
"Beaumont Health (Taylor)_Dermatology","Beaumont Health (Taylor)","Dermatology"
"Beaumont Health (Trenton)_Dermatology","Beaumont Health (Trenton)","Dermatology"
"Botsford Hospital_Dermatology","Botsford Hospital","Dermatology"
"Broward Health Medical Center_Dermatology","Broward Health Medical Center","Dermatology"
"Brown University (Women and Infants Hospital of Rhode Island)_Dermatology","Brown University (Women and Infants Hospital of Rhode Island)","Dermatology"
"Brown University/Rhode Island Hospital-Lifespan_Dermatology","Brown University/Rhode Island Hospital-Lifespan","Dermatology"
"Butler Hospital/Brown University_Dermatology","Butler Hospital/Brown University","Dermatology"
"Campbell University/Cape Fear Valley Medical Center_Dermatology","Campbell University/Cape Fear Valley Medical Center","Dermatology"
"Carilion Clinic- Virginia Tech Carilion School of Medicine_Dermatology","Carilion Clinic- Virginia Tech Carilion School of Medicine","Dermatology"
"Case Western Reserve University (MetroHealth)_Dermatology","Case Western Reserve University (MetroHealth)","Dermatology"
"Case Western Reserve University (MetroHealth)-Preliminary_Dermatology","Case Western Reserve University (MetroHealth)-Preliminary","Dermatology"
"Cooper Hospital-University Medical Center_Dermatology","Cooper Hospital-University Medical Center","Dermatology"
"Dartmouth- Hitchcock/Mary Hitchcock Memorial Hospital_Dermatology","Dartmouth- Hitchcock/Mary Hitchcock Memorial Hospital","Dermatology"
"Doctors Hospital/OhioHealth_Dermatology","Doctors Hospital/OhioHealth","Dermatology"
"Drexel University College of Medicine/Hahnemann University_Dermatology","Drexel University College of Medicine/Hahnemann University","Dermatology"
"Drexel University College of Medicine/Hahnemann University Hospital_Dermatology","Drexel University College of Medicine/Hahnemann University Hospital","Dermatology"
"Florida State University College of Medicine_Dermatology","Florida State University College of Medicine","Dermatology"
"Florida State University College of Medicine (Tallahassee)_Dermatology","Florida State University College of Medicine (Tallahassee)","Dermatology"
"George Washington University_Dermatology","George Washington University","Dermatology"
"HCA Healthcare LewisGale Hospital- Montgomery/VCOM_Dermatology","HCA Healthcare LewisGale Hospital- Montgomery/VCOM","Dermatology"
"HCA Healthcare/Mercer University School of Medicine/Orange Park Medical Center_Dermatology","HCA Healthcare/Mercer University School of Medicine/Orange Park Medical Center","Dermatology"
"HCA Healthcare/USF Morsani College of Medicine GME: Largo Medical Center_Dermatology","HCA Healthcare/USF Morsani College of Medicine GME: Largo Medical Center","Dermatology"
"HCA Medical City_Dermatology","HCA Medical City","Dermatology"
"HCA West Florida GME Consortium/Largo Medical Center_Dermatology","HCA West Florida GME Consortium/Largo Medical Center","Dermatology"
"Henry Ford Health/Henry Ford Hospital_Dermatology","Henry Ford Health/Henry Ford Hospital","Dermatology"
"Henry Ford Hospital/Wayne State University_Dermatology","Henry Ford Hospital/Wayne State University","Dermatology"
"Hofstra Northwell School of Medicine_Dermatology","Hofstra Northwell School of Medicine","Dermatology"
"Indiana University School of Medicine/Methodist Hospital_Dermatology","Indiana University School of Medicine/Methodist Hospital","Dermatology"
"Jackson Memorial Hospital/Jackson Health System_Dermatology","Jackson Memorial Hospital/Jackson Health System","Dermatology"
"John H Stroger Hospital of Cook County_Dermatology","John H Stroger Hospital of Cook County","Dermatology"
"Kansas City University GME Consortium (KCU-GME Consortium)/ADCS- Orlando_Dermatology","Kansas City University GME Consortium (KCU-GME Consortium)/ADCS- Orlando","Dermatology"
"Kansas City University of Medicine & Biosciences-GME Consortium (KCU-GME Consortium) Phoenix_Dermatology","Kansas City University of Medicine & Biosciences-GME Consortium (KCU-GME Consortium) Phoenix","Dermatology"
"Kansas City University of Medicine & Biosciences-GME Consortium (KCU-GME Consortium)/ADCS-Orlando_Dermatology","Kansas City University of Medicine & Biosciences-GME Consortium (KCU-GME Consortium)/ADCS-Orlando","Dermatology"
"Kansas City University of Medicine & Biosciences-GME Consortium (KCU-GMEC) Cuyahoga Falls_Dermatology","Kansas City University of Medicine & Biosciences-GME Consortium (KCU-GMEC) Cuyahoga Falls","Dermatology"
"Kansas City University of Medicine & Biosciences-GME Consortium (KCU-GMEC) Phoenix_Dermatology","Kansas City University of Medicine & Biosciences-GME Consortium (KCU-GMEC) Phoenix","Dermatology"
"Kansas City University of Medicine & Biosciences-GME Consortium (KCU-GMEC)/Tri-County_Dermatology","Kansas City University of Medicine & Biosciences-GME Consortium (KCU-GMEC)/Tri-County","Dermatology"
"Lehigh Valley Health Network/University of South Florida College of Medicine_Dermatology","Lehigh Valley Health Network/University of South Florida College of Medicine","Dermatology"
"Louisiana State University School of Medicine_Dermatology","Louisiana State University School of Medicine","Dermatology"
"Loyola University_Dermatology","Loyola University","Dermatology"
"Mary Hitchcock Memorial Hospital/Dartmouth-Hitchcock_Dermatology","Mary Hitchcock Memorial Hospital/Dartmouth-Hitchcock","Dermatology"
"Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women's Hosp_Dermatology","Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women's Hosp","Dermatology"
"Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women's Hospital_Dermatology","Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women's Hospital","Dermatology"
"Massachusetts General Hospital/Harvard Medical School_Dermatology","Massachusetts General Hospital/Harvard Medical School","Dermatology"
"Mayo Clinic College of Medicine and Science (Scottsdale)_Dermatology","Mayo Clinic College of Medicine and Science (Scottsdale)","Dermatology"
"MedStar Heath/Washington Hospital Center_Dermatology","MedStar Heath/Washington Hospital Center","Dermatology"
"Medical City Weatherford_Dermatology","Medical City Weatherford","Dermatology"
"Medical University of South Carolina College of Medicine_Dermatology","Medical University of South Carolina College of Medicine","Dermatology"
"MetroHealth Medical Center/Case Western Reserve University_Dermatology","MetroHealth Medical Center/Case Western Reserve University","Dermatology"
"Midwestern University OPTI/Advanced Desert_Dermatology","Midwestern University OPTI/Advanced Desert","Dermatology"
"New York Medical College at Metropolitan Hospital Center_Dermatology","New York Medical College at Metropolitan Hospital Center","Dermatology"
"New York University School of Medicine_Dermatology","New York University School of Medicine","Dermatology"
"Nuvance Health_Dermatology","Nuvance Health","Dermatology"
"OPTI West (Newport Beach)_Dermatology","OPTI West (Newport Beach)","Dermatology"
"Oakwood Southshore Hospital_Dermatology","Oakwood Southshore Hospital","Dermatology"
"Ohio Health/Riverside Methodist Hospital_Dermatology","Ohio Health/Riverside Methodist Hospital","Dermatology"
"Orange Park Medical Center_Dermatology","Orange Park Medical Center","Dermatology"
"Oregon Health & Science University_Dermatology","Oregon Health & Science University","Dermatology"
"Oregon Health & Science University Hospital_Dermatology","Oregon Health & Science University Hospital","Dermatology"
"Penn State Milton S Hershey Medical Center/Hershey_Dermatology","Penn State Milton S Hershey Medical Center/Hershey","Dermatology"
"Riverside Methodist Hospitals (OhioHealth)_Dermatology","Riverside Methodist Hospitals (OhioHealth)","Dermatology"
"Roger Williams Medical Center_Dermatology","Roger Williams Medical Center","Dermatology"
"Rutgers New Jersey Medical School_Dermatology","Rutgers New Jersey Medical School","Dermatology"
"Rutgers Robert Wood Johnson Medical School_Dermatology","Rutgers Robert Wood Johnson Medical School","Dermatology"
"SUNY Health Science Center at Brooklyn_Dermatology","SUNY Health Science Center at Brooklyn","Dermatology"
"Southern Illinois University School of Medicine_Dermatology","Southern Illinois University School of Medicine","Dermatology"
"St Joseph Mercy Livingston_Dermatology","St Joseph Mercy Livingston","Dermatology"
"St Joseph Mercy Livingston (Michigan)_Dermatology","St Joseph Mercy Livingston (Michigan)","Dermatology"
"St Louis University School of Medicine_Dermatology","St Louis University School of Medicine","Dermatology"
"St Louis University School of Medicine (Saint Louis)_Dermatology","St Louis University School of Medicine (Saint Louis)","Dermatology"
"St Luke_Dermatology","St Luke","Dermatology"
"St Luke's Hospital - Anderson Campus_Dermatology","St Luke's Hospital - Anderson Campus","Dermatology"
"Stanford University_Dermatology","Stanford University","Dermatology"
"Still OPTI/Peak Vista_Dermatology","Still OPTI/Peak Vista","Dermatology"
"Stony Brook Medicine_Dermatology","Stony Brook Medicine","Dermatology"
"Strong Memorial Hospital of the University of Rochester_Dermatology","Strong Memorial Hospital of the University of Rochester","Dermatology"
"Texas A&M College of Medicine-Scott and White_Dermatology","Texas A&M College of Medicine-Scott and White","Dermatology"
"Texas Tech University (Lubbock)_Dermatology","Texas Tech University (Lubbock)","Dermatology"
"UCLA Medical Center_Dermatology","UCLA Medical Center","Dermatology"
"UPMC Medical Education (Pittsburgh)_Dermatology","UPMC Medical Education (Pittsburgh)","Dermatology"
